,Date,Team,Returned,Injured,Injury,Length
0,1947-08-05,Bombers,,Jack Underman,fractured legs,(in auto accident)
1,1948-02-15,Bullets,Buddy Jeannette,,broken rib,(DTD)
2,1949-11-12,Capitols,,Fred Scolari,fractured right cheekbone,(out indefinitely)
3,1949-12-23,Knicks,,Vince Boryla,mumps,(out ~2 weeks)
4,1950-01-13,Knicks,Vince Boryla,,returned to lineup,(date approximate)
5,1950-10-25,Knicks,,Goebel Ritter / Tex Ritter,bruised ligaments in left ankle,(DTD)
6,1950-12-05,Celtics,,Andy Duncan,broken kneecap,(out indefinitely)
7,1953-01-27,Knicks,,Max Zaslofsky,fractured hand,(out indefinitely)
8,1954-09-29,Celtics,,Jack Nichols,fractured nose,(DTD)
9,1955-01-02,Warriors,,Paul Arizin,ankle injury,(DTD)
10,1957-03-25,Hawks,,Bob Pettit,fractured wrist,(date approximate)
11,1958-03-15,Royals,,Maurice Stokes,"hospitalized with encephalopathy / ""brain fever"" and paralysis",(Length Undetermined)
12,1960-01-05,Celtics,,Bill Sharman,sprained Achilles tendon,(date approximate)
13,1960-01-05,Celtics,,Jim Loscutoff,sore back and legs,(out indefinitely)
14,1960-04-05,Hawks,,Larry Foust,fractured hand,(DTD)
15,1961-11-01,Knicks,,Tom Stith,tuberculosis,(out indefinitely)
16,1963-02-03,Lakers,,Jerry West,torn hamstring,(out indefinitely)
17,1963-03-05,Knicks,,Gene Conley,right ankle injury,(DTD)
18,1964-01-26,Lakers,,Jerry West,fractured thumb,(out indefinitely)
19,1964-07-01,Warriors,,Al Attles,surgery on righ thigh to remove calcium deposits and blood clots,(date approximate)
20,1964-07-01,Warriors,,Gary Phillips,surgery on ankle,(date approximate)
21,1964-09-17,Warriors,,McCoy McLemore,broken nose,(DTD)
22,1964-09-17,Warriors,,Tom Meschery,fractured finger,(date approximate)
23,1964-10-01,Hawks,,Bob Pettit,knee injury,(date approximate)
24,1964-10-05,Warriors,,Wilt Chamberlain,stomach ailment,(DTD)
25,1964-12-15,Hawks,Bob Pettit,,returned to lineup,(date approximate)
26,1965-01-14,Lakers,,Jerry West,fractured nose,(DTD)
27,1965-04-01,Lakers,,Elgin Baylor,injured kneecap,(date approximate)
28,1965-04-02,Lakers,,Elgin Baylor,surgery on injured kneecap,(date approximate)
29,1966-01-11,Lakers,,Jerry West,corneal abrasion,(DTD)
30,1966-03-03,Knicks,,Dick Barnett,shoulder injury,(DTD)
31,1966-10-11,Lakers,,Jerry West,heel injury,(Length Undetermined)
32,1967-03-07,Lakers,,Jerry West,fractured nose,(DTD)
33,1967-03-17,Lakers,,Jerry West,sprained ankle,(DTD)
34,1967-03-21,Lakers,,Jerry West,pulled hamstring,(DTD)
35,1967-03-26,Lakers,,Jerry West,fractured hand,(out indefinitely)
36,1967-10-03,Lakers,,Jerry West,fractured hand,(out indefinitely)
37,1967-11-15,Hawks,,Jay Miller,appendectomy,(out indefinitely)
38,1967-12-10,76ers,,Larry Costello,foot injury,(date approximate)
39,1968-01-01,Lakers,,Jerry West,pulled groin,(date approximate)
40,1968-01-25,Lakers,,Jerry West,fractured nose,(DTD)
41,1968-02-23,Lakers,,Jerry West,pulled groin,(DTD)
42,1968-04-28,Lakers,,Jerry West,sprained ankle,(DTD)
43,1968-05-15,Pipers,,Charles Vaughn / Chico Vaughn,surgery on leg to remove calcified deposit,(out indefinitely)
44,1968-10-23,Lakers,,Jerry West,pulled groin,(DTD)
45,1968-12-27,Bucks,,Dick Cunningham,sprained ankle,(DTD)
46,1969-01-04,Lakers,,Jerry West,pulled groin,(DTD)
47,1969-01-30,Lakers,,Jerry West,pulled hamstring,(DTD)
48,1969-04-01,Knicks,,Phil Jackson,surgery on back,(spinal fusion)
49,1969-05-01,Lakers,,Jerry West,pulled hamstring,(DTD)
50,1969-10-24,Caps,,Rick Barry,surgery on knee,(out indefinitely)
51,1969-11-01,Lakers,,Jerry West,pulled groin,(DTD)
52,1969-11-26,Lakers,,Jerry West,sprained ankle,(DTD)
53,1969-12-01,Buccaneers,,Jimmy Jones / Jimmie Jones,knee injury,(out)
54,1969-12-09,Lakers,,Jerry West,pulled groin,(DTD)
55,1969-12-19,Bulls,,Jerry Sloan,groin injury,(DTD)
56,1970-01-04,Bulls,,Chet Walker,pulled groin,(DTD)
57,1970-01-16,Warriors,,Nate Thurmond,right knee injury,(out for season)
58,1970-02-01,Lakers,,Jerry West,pulled groin,(DTD)
59,1970-08-19,Lakers,,Earnie Killum,dislocated left foot,(out indefinitely)
60,1970-10-01,Lakers,,Elgin Baylor,torn Achilles tendon,(out for season)
61,1970-11-18,Knicks,,Willis Reed,sore left knee,(DTD)
62,1971-01-06,Lakers,,Jerry West,fractured nose,(DTD)
63,1971-01-18,Celtics,,John Havlicek,charley horse,(DTD)
64,1971-02-21,Pistons,,Terry Dischinger,left knee injury,(out indefinitely)
65,1971-02-23,Pistons,,Terry Dischinger,surgery on left knee,(out indefinitely)
66,1971-03-02,Lakers,,Jerry West,torn MCL in knee,(out indefinitely)
67,1971-09-14,Squires,,Mike Barrett,agreed to surgery on injured wrist,(out for season)
68,1971-10-20,Lakers,,Jerry West,sprained ankle,(DTD)
69,1971-11-29,Cavaliers,,Austin Carr,sprained ankle,(out indefinitely)
70,1971-12-26,Condors,,John Brisker,Achilles tendon injury,(Length Undetermined)
71,1972-01-24,Royals,,Gilbert McGregor / Gil McGregor,broken foot,(out indefinitely)
72,1972-01-25,Condors,John Brisker,,returned to lineup,(Length Undetermined)
73,1972-01-29,Cavaliers,Austin Carr,,returned to lineup,(Length Undetermined)
74,1972-09-24,76ers,,Kevin Loughery,knee injury,(DTD)
75,1972-11-03,Cavaliers,,Rick Roberson,pulled hamstring,(out indefinitely)
76,1973-01-06,Chaparrals,,Harley Swift / Skeeter Swift,surgery on knee,(out indefinitely)
77,1973-02-09,Lakers,,Jerry West,pulled hamstring,(DTD)
78,1973-03-18,Bulls,,Clifford Ray,sprained LCL in left knee,(DTD)
79,1973-05-06,Lakers,,Jerry West,pulled hamstring,(DTD)
80,1973-08-21,76ers,,Doug Collins,fractured left foot,(out indefinitely)
81,1973-11-01,Lakers,,Jerry West,pulled groin,(date approximate)
82,1973-11-06,Lakers,,Elmore Smith,fractured cheekbone,(out indefinitely)
83,1974-01-09,Lakers,,Jerry West,pulled groin,(DTD)
84,1974-01-20,Blazers,,John Johnson,fractured elbow,(out indefinitely)
85,1974-01-23,Nets,,Billy Paultz,sprained ankle,(DTD)
86,1974-02-05,Lakers,,Jerry West,pulled groin,(DTD)
87,1974-03-15,Bucks,,Lucius Allen,torn cartilage in knee,(out for season)
88,1974-03-16,Bucks,,Lucius Allen,surgery on knee to repair torn cartliage,(out for season)
89,1974-10-05,Bucks,,Kareem Abdul-Jabbar / Lew Alcindor,fractured right hand,(out indefinitely)
90,1974-10-07,Hawks,,Herm Gilliam,surgery on knee to repair torn cartilage,(out indefinitely)
91,1974-11-01,Hawks,,Lou Hudson,elbow injury,(date approximate)
92,1974-11-21,76ers,,Billy Cunningham,sore left knee,(DTD)
93,1974-12-05,Cavaliers,,Austin Carr,knee injury,(surgery)
94,1975-01-27,Bulls,,John Block,hospitalized withi back and lung ailments,(Length Undetermined)
95,1975-11-01,Squires,,Mack Calvin,partially torn tendon in knee,(out at least 1 month)
96,1975-11-01,Squires,,Mike Green,cartilage problem in knee,(out at least 1 month)
97,1975-12-05,76ers,,Billy Cunningham,partially torn ligament,(ACL?) in left knee
98,1976-05-01,Spurs,,James Silas,broken ankle,(date approximate)
99,1976-05-02,Spurs,,James Silas,surgery to repair broken ankle,(date approximate)
100,1976-08-20,Bucks,,Dave Meyers,fractured left knee,(out indefinitely)
101,1976-08-24,Cavaliers,,Jim Chones,fractured right little toe,(DTD)
102,1976-08-30,Bucks,,Dave Meyers,surgery on left knee to repair fracture,(date approximate)
103,1976-10-15,Spurs,,James Silas,injured right knee,(date approximate)
104,1976-11-15,Spurs,,James Silas,surgery on right knee to remove torn cartilage,(Length Undetermined)
105,1977-02-01,76ers,,Harvey Catchings,fractured and dislocated right elbow,(out for season)
106,1977-11-23,Pistons,Bob Lanier,,returned to lineup,(Length Undetermined)
107,1977-12-09,Rockets,,Rudy Tomjanovich,fractured facial bones,(out indefinitely)
108,1978-01-31,Jazz,,Pete Maravich,right knee injury,(out indefinitely)
109,1978-05-05,Sonics,,Dennis Johnson,dislocated middle finger on right hand,(DTD)
110,1978-10-01,Bucks,,Dave Meyers,back injury,(out for season)
111,1979-02-20,Jazz,,Pete Maravich,rehab of right knee injury,(out for season)
112,1979-05-16,Cavaliers,,John Lambert,sprained left ankle,(DTD)
113,1979-09-11,Nuggets,,Matt Teahan,fractured bone in left foot,(out indefinitely)
114,1979-11-24,Cavaliers,,John Lambert,sprained right ankle,(DTD)
115,1979-12-26,Pistons,,Bob Lanier,fractured left hand,(out indefinitely)
116,1980-01-01,Cavaliers,,Michael Russell / Campy Russell,knee injury,(date approximate)
117,1980-03-10,Bullets,,Bob Dandridge,bruised calf muscle,(DTD)
118,1980-03-12,76ers,,Doug Collins,torn ACL and cartilage in left knee,(out for season)
119,1980-03-17,76ers,,Doug Collins,surgery to repair torn ACL in left knee,(out for season)
